행정동_코드,행정동_한글,자치구명,year,month,위험노출시간,pm25_평균,pm10_평균,온도_평균,습도_평균,열지수_평균,소음_평균,high_temp_risk_비율,low_temp_risk_비율,humidity_risk_비율,noise_risk_비율,병원수,공원면적,금연구역수,환자수_인구보정,위험노출시간_norm,환자수_norm,병원수_norm,공원면적_norm,금연구역수_norm,건강안전도_점수,건강안전도_등급,계절
1123060000,답십리1동,동대문구,2025,12,0.36,19.155615696887686,31.1041948579161,2.3110119047619047,51.05059523809524,2.3110119047619047,47.90178571428572,0.0,0.6934523809523809,0.1458333333333333,0.0,4.0,458663.7,113.0,73805.13077675698,0.3636363636363636,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,58,4,겨울
1123061000,답십리2동,동대문구,2025,1,0.56,27.66124661246613,43.50269541778976,0.8806539509536785,56.25498861919971,0.8806539509536785,45.00953678474114,0.0,0.8419618528610354,0.1171662125340599,0.0,4.0,458663.7,113.0,73805.13077675698,0.5656565656565657,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,43,5,겨울
1123061000,답십리2동,동대문구,2025,2,0.36,21.01492537313433,36.95037593984962,0.1750759878419453,51.90425531914894,0.1750759878419453,44.98784194528876,0.0,0.8297872340425532,0.1063829787234042,0.0,4.0,458663.7,113.0,73805.13077675698,0.3636363636363636,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,58,4,겨울
1123061000,답십리2동,동대문구,2025,3,0.58,30.693351424694708,55.18563685636856,9.39085794655415,53.18257904250433,9.39085794655415,42.38677918424754,0.0,0.2489451476793249,0.140646976090014,0.0,4.0,458663.7,113.0,73805.13077675698,0.5858585858585859,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,42,5,봄
1123061000,답십리2동,동대문구,2025,4,0.2,21.171107994389903,43.96072931276297,15.351063829787234,55.739232799111576,15.34696016035608,42.81833060556465,0.0,0.0196399345335515,0.1685761047463175,0.0,4.0,458663.7,113.0,73805.13077675698,0.202020202020202,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,70,2,봄
1123061000,답십리2동,동대문구,2025,5,0.2,19.22086720867209,38.00813008130081,19.34613003095976,60.96063873546409,19.395207040188684,43.94891640866873,0.0046439628482972,0.0,0.1501547987616099,0.0,4.0,458663.7,113.0,73805.13077675698,0.202020202020202,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,70,2,봄
1123061000,답십리2동,동대문구,2025,6,0.2,18.87798036465638,34.32678821879383,25.083030303030306,61.35031134592214,25.40119087978824,45.36363636363637,0.0212121212121212,0.0,0.0636363636363636,0.0,4.0,458663.7,113.0,73805.13077675698,0.202020202020202,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,70,2,여름
1123061000,답십리2동,동대문구,2025,7,0.36,14.936974789915968,24.88920056100982,31.16489795918368,64.69681856665657,36.404424639115305,48.49762906745473,0.6142857142857143,0.0,0.0673469387755102,0.1020408163265306,4.0,458663.7,113.0,73805.13077675698,0.3636363636363636,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,58,4,여름
1123061000,답십리2동,동대문구,2025,8,0.26,13.74581005586592,23.02387640449438,27.996792150822102,70.05347888342557,31.73078501423256,51.70259208731242,0.3751705320600272,0.0,0.1664392905866303,0.3096862210095498,4.0,458663.7,113.0,73805.13077675698,0.2626262626262626,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,65,3,여름
1123061000,답십리2동,동대문구,2025,9,0.0,8.987323943661972,18.44788732394366,20.23435661526025,69.64880679148962,20.542660959765765,54.63516330785268,0.0152883947185545,0.0,0.2738012508686588,0.4621264767199444,4.0,458663.7,113.0,73805.13077675698,0.0,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,84,1,가을
